,date,count_sum,power,dey,month,year,power_res
262,2011-09-20,33,M1.37,20,09,2011,1.37
263,2011-09-21,26,M2.67,21,09,2011,2.67
264,2011-09-22,31,X2.13,22,09,2011,21.299999999999997
265,2011-09-23,32,M2.84,23,09,2011,2.84
266,2011-09-24,21,X2.72,24,09,2011,27.200000000000003
267,2011-09-25,18,X1.07,25,09,2011,10.700000000000001
268,2011-09-26,34,M5.84,26,09,2011,5.84
269,2011-09-27,35,C9.2,27,09,2011,0.9199999999999999
270,2011-09-28,40,M1.73,28,09,2011,1.73
271,2011-09-29,42,C8.06,29,09,2011,0.806
272,2011-09-30,35,M1.46,30,09,2011,1.46
273,2011-10-01,12,M1.82,01,10,2011,1.82
274,2011-10-02,18,M5.62,02,10,2011,5.62
275,2011-10-03,26,M1.09,03,10,2011,1.09
276,2011-10-04,37,M1.05,04,10,2011,1.05
277,2011-10-05,27,M1.33,05,10,2011,1.33
278,2011-10-06,38,C2.76,06,10,2011,0.27599999999999997
279,2011-10-07,33,C3.81,07,10,2011,0.381
280,2011-10-08,23,C1.61,08,10,2011,0.161
281,2011-10-09,9,C2.44,09,10,2011,0.244
282,2011-10-10,33,C6.5,10,10,2011,0.65
283,2011-10-11,33,C1.58,11,10,2011,0.158
284,2011-10-12,22,C7.69,12,10,2011,0.769
285,2011-10-13,21,C3.23,13,10,2011,0.323
286,2011-10-14,36,C2.21,14,10,2011,0.221
287,2011-10-15,16,C7.23,15,10,2011,0.7230000000000001
288,2011-10-16,13,C9.05,16,10,2011,0.905
289,2011-10-17,30,C3.33,17,10,2011,0.333
290,2011-10-18,26,C2.86,18,10,2011,0.286
291,2011-10-19,32,C7.87,19,10,2011,0.787
292,2011-10-20,35,M2.35,20,10,2011,2.35
293,2011-10-21,35,M1.86,21,10,2011,1.86
294,2011-10-22,26,M1.88,22,10,2011,1.88
295,2011-10-23,15,C3.62,23,10,2011,0.362
296,2011-10-24,23,C1.36,24,10,2011,0.136
297,2011-10-25,24,C2.57,25,10,2011,0.257
298,2011-10-26,20,C1.85,26,10,2011,0.185
299,2011-10-27,28,C3.71,27,10,2011,0.371
300,2011-10-28,30,C2.46,28,10,2011,0.246
301,2011-10-29,13,C4.35,29,10,2011,0.43499999999999994
302,2011-10-30,9,C3.54,30,10,2011,0.354
303,2011-10-31,21,M2.03,31,10,2011,2.03
304,2011-11-01,12,C6.83,01,11,2011,0.683
305,2011-11-02,29,M6.18,02,11,2011,6.18
306,2011-11-03,19,X2.85,03,11,2011,28.5
307,2011-11-04,29,M1.44,04,11,2011,1.44
308,2011-11-05,23,M5.42,05,11,2011,5.42
309,2011-11-06,12,M2.05,06,11,2011,2.05
310,2011-11-07,21,C5.13,07,11,2011,0.513
311,2011-11-08,29,C3.71,08,11,2011,0.371
312,2011-11-09,23,M1.65,09,11,2011,1.65
313,2011-11-10,36,C8.7,10,11,2011,0.8699999999999999
314,2011-11-11,45,C7.82,11,11,2011,0.782
315,2011-11-12,23,C3.67,12,11,2011,0.367
316,2011-11-13,14,C3.74,13,11,2011,0.374
317,2011-11-14,29,C7.55,14,11,2011,0.755
318,2011-11-15,33,M2.81,15,11,2011,2.81
319,2011-11-16,24,M1.13,16,11,2011,1.13
320,2011-11-17,27,C8.58,17,11,2011,0.858
321,2011-11-18,37,C5.21,18,11,2011,0.521
322,2011-11-19,22,C6.56,19,11,2011,0.6559999999999999
323,2011-11-20,19,C8.73,20,11,2011,0.873
324,2011-11-21,20,C4.49,21,11,2011,0.449
325,2011-11-22,22,C7.11,22,11,2011,0.7110000000000001
326,2011-11-23,28,C3.83,23,11,2011,0.383
327,2011-11-24,19,C2.82,24,11,2011,0.282
328,2011-11-25,29,C4.74,25,11,2011,0.47400000000000003
329,2011-11-26,30,C2.19,26,11,2011,0.219
330,2011-11-27,13,C1.99,27,11,2011,0.199
331,2011-11-28,29,C4.64,28,11,2011,0.46399999999999997
332,2011-11-29,27,C3.59,29,11,2011,0.359
333,2011-11-30,22,C5.44,30,11,2011,0.544
